county,coordinates,state
Fisher,"(32.7398733, -100.3497895)",Texas
Haskell,"(33.1403423, -99.8124935)",Texas
Mills,"(31.6137467, -98.5721016)",Texas
San Saba,"(31.238909, -98.7481167)",Texas
Hall,"(34.4793521, -100.7097867)",Texas
Hardeman,"(34.2177242, -99.634135)",Texas
Ward,"(31.5395559, -103.1279039)",Texas
Presidio,"(29.9480666, -104.1001326)",Texas
Hudspeth,"(31.5707433, -105.5943388)",Texas
Reagan,"(31.2903569, -101.5248055)",Texas
Kinney,"(29.2934865, -100.3497895)",Texas
Irion,"(31.2557696, -100.8903099)",Texas
Baylor,"(33.5373926, -99.2785583)",Texas
Crockett,"(30.5977955, -101.1617356)",Texas
Real,"(29.8851459, -99.8124935)",Texas
Somervell,"(32.2547696, -97.7416703)",Texas
Schleicher,"(30.9234947, -100.5296115)",Texas
Sutton,"(30.5598827, -100.5296115)",Texas
Upton,"(31.33848429999999, -101.9804613)",Texas
Culberson,"(31.347767, -104.4723301)",Texas
Menard,"(30.9802428, -99.8124935)",Texas
Terrell,"(30.2348611, -102.1632718)",Texas
Edwards,"(29.9282955, -100.439656)",Texas
Jeff Davis,"(30.750805, -104.1930918)",Texas
Kenedy,"(26.8697147, -97.69822719999999)",Texas
Throckmorton,"(33.1814565, -99.2785583)",Texas
Foard,"(33.9865825, -99.7678687)",Texas
Kent,"(33.2438434, -100.7097867)",Texas
McMullen,"(28.3102323, -98.5721016)",Texas
Stonewall,"(33.1114912, -100.1703257)",Texas
Hillsborough,"(27.9903597, -82.3017728)",Florida
Manatee,"(27.4799195, -82.34518899999999)",Florida
Santa Rosa,"(30.7689907, -86.9824288)",Florida
Broward,"(26.190096, -80.365865)",Florida
Lee,"(26.6630286, -81.9534815)",Florida
Charlotte,"(26.8946009, -81.909826)",Florida
Okaloosa,"(30.57734009999999, -86.6611083)",Florida
Volusia,"(29.0279842, -81.0754657)",Florida
Alachua,"(29.6579549, -82.3017728)",Florida
Collier,"(26.069985, -81.42789839999999)",Florida
Nassau,"(30.5927334, -81.8224362)",Florida
Pasco,"(28.3232418, -82.4319405)",Florida
Pinellas,"(27.876394, -82.7778579)",Florida
Miami-Dade,"(25.5516034, -80.6326916)",Florida
St. Johns,"(29.9719419, -81.42789839999999)",Florida
Clay,"(29.9943564, -81.77870209999999)",Florida
Duval,"(30.3500511, -81.6035062)",Florida
Palm Beach,"(26.6514503, -80.2767327)",Florida
Sarasota,"(27.1995986, -82.34518899999999)",Florida
Seminole,"(28.7131688, -81.20781640000001)",Florida
Orange,"(28.4844995, -81.2518833)",Florida
Osceola,"(28.1019838, -81.0754657)",Florida
Baker,"(30.3931168, -82.3017728)",Florida
Citrus,"(28.8848842, -82.5185837)",Florida
Escambia,"(30.6389408, -87.3413599)",Florida
Lake,"(28.702847, -81.77870209999999)",Florida
Brevard,"(28.263933, -80.7214417)",Florida
Polk,"(27.8617347, -81.6911559)",Florida
Leon,"(30.4906177, -84.1857115)",Florida
Sumter,"(28.6747526, -82.08429009999999)",Florida
Walton,"(30.56401989999999, -86.17517590000001)",Florida
Hernando,"(28.5578826, -82.4752757)",Florida
Indian River,"(27.6947732, -80.54384499999999)",Florida
Jackson,"(30.7150882, -85.1894045)",Florida
Martin,"(27.0804935, -80.4103957)",Florida
Monroe,"(24.5557001, -81.78259849999999)",Florida
Bay,"(30.1805306, -85.684578)",Florida
Highlands,"(27.3400286, -81.34002679999999)",Florida
Marion,"(29.2787765, -82.12783999999999)",Florida
Putnam,"(29.6265157, -81.77870209999999)",Florida
St. Lucie,"(27.3225563, -80.54384499999999)",Florida
Bradford,"(29.97238179999999, -82.1713632)",Florida
Columbia,"(30.1812696, -82.605118)",Florida
DeSoto,"(27.2142078, -81.77870209999999)",Florida
Flagler,"(29.4086072, -81.2518833)",Florida
Gadsden,"(30.5562947, -84.6479124)",Florida
Washington,"(30.548737, -85.684578)",Florida
Levy,"(29.3178545, -82.82097399999999)",Florida
Suwannee,"(30.24850959999999, -82.99316069999999)",Florida
Hendry,"(26.6105319, -81.0754657)",Florida
Glades,"(26.984415, -81.0754657)",Florida
Wakulla,"(30.1301689, -84.3542049)",Florida
Holmes,"(30.8740806, -85.80766)",Florida
Calhoun,"(30.3475302, -85.1894045)",Florida
Union,"(30.0745112, -82.34518899999999)",Florida
Gulf,"(29.8001623, -85.35496499999999)",Florida
Hardee,"(27.4501733, -81.8224362)",Florida
Madison,"(30.4586334, -83.5070203)",Florida
Okeechobee,"(27.3462015, -80.89865019999999)",Florida
Franklin,"(29.7817695, -84.8567932)",Florida
Dixie,"(29.5207227, -83.1649001)",Florida
Jefferson,"(30.4311978, -83.8897057)",Florida
Hamilton,"(30.47559579999999, -82.95015579999999)",Florida
Gilchrist,"(29.6871128, -82.82097399999999)",Florida
Taylor,"(30.0993767, -83.67739279999999)",Florida
Lafayette,"(30.0299573, -83.2077645)",Florida
Liberty,"(30.1507777, -84.8567932)",Florida
Fulton,"(33.8033965, -84.3962535)",Georgia
Polk,"(34.0132398, -85.14793639999999)",Georgia
Cobb,"(33.8999297, -84.56414699999999)",Georgia
Gwinnett,"(33.9190653, -84.01674229999999)",Georgia
Cherokee,"(34.2514526, -84.4802606)",Georgia
DeKalb,"(33.7956441, -84.2278796)",Georgia
Fayette,"(33.4502206, -84.4802606)",Georgia
Floyd,"(34.2828967, -85.2308414)",Georgia
Charlton,"(30.7917361, -82.08429009999999)",Georgia
Bartow,"(34.2660473, -84.8150781)",Georgia
Lee,"(31.8128435, -84.14351359999999)",Georgia
Lowndes,"(30.8600022, -83.2934086)",Georgia
Gordon,"(34.4891699, -84.8567932)",Georgia
Henry,"(33.4347963, -84.14351359999999)",Georgia
Coweta,"(33.3716708, -84.7315563)",Georgia
Clarke,"(33.9519347, -83.357567)",Georgia
Clayton,"(33.5571944, -84.375233)",Georgia
Dougherty,"(31.5439375, -84.2278796)",Georgia
Newton,"(33.5544296, -83.8473015)",Georgia
Forsyth,"(34.2358502, -84.14351359999999)",Georgia
Hall,"(34.30778, -83.804868)",Georgia
Paulding,"(33.9142037, -84.8984775)",Georgia
Troup,"(33.0698575, -85.02334599999999)",Georgia
Richmond,"(33.3205339, -82.08429009999999)",Georgia
Whitfield,"(34.8033566, -84.981754)",Georgia
Columbia,"(33.5098514, -82.25832969999999)",Georgia
Houston,"(32.4219655, -83.63484299999999)",Georgia
Bibb,"(32.7865735, -83.7199136)",Georgia
Early,"(31.3901106, -84.8984775)",Georgia
Effingham,"(32.378148, -81.38393260000001)",Georgia
Glynn,"(31.2624169, -81.6035062)",Georgia
Laurens,"(32.433014, -82.99316069999999)",Georgia
Peach,"(32.5892926, -83.8260884)",Georgia
Rockdale,"(33.6752492, -84.0378894)",Georgia
Carroll,"(33.5642239, -85.0649071)",Georgia
Chatham,"(31.9994194, -81.1196075)",Georgia
Dawson,"(34.412912, -84.14351359999999)",Georgia
Douglas,"(33.7290225, -84.7315563)",Georgia
Heard,"(33.2990406, -85.14793639999999)",Georgia
Lamar,"(33.0765883, -84.14351359999999)",Georgia
Lincoln,"(33.7875101, -82.4319405)",Georgia
Miller,"(31.2008218, -84.7315563)",Georgia
Monroe,"(32.9746846, -83.8897057)",Georgia
Muscogee,"(32.4794133, -84.8984775)",Georgia
Oconee,"(33.8231988, -83.4430118)",Georgia
Pickens,"(34.4497166, -84.4592701)",Georgia
Randolph,"(31.7913398, -84.68974949999999)",Georgia
Spalding,"(33.2636732, -84.3121264)",Georgia
Sumter,"(31.9981596, -84.2278796)",Georgia
Terrell,"(31.7370079, -84.4802606)",Georgia
Tift,"(31.4205597, -83.54965659999999)",Georgia
Turner,"(31.6976531, -83.63484299999999)",Georgia
Worth,"(31.5282489, -83.8897057)",Georgia
Baldwin,"(33.0338083, -83.2934086)",Georgia
Lumpkin,"(34.5813972, -83.9744262)",Georgia
Barrow,"(34.0142667, -83.6986568)",Georgia
Butts,"(33.2691443, -83.9532571)",Georgia
Chattooga,"(34.4632661, -85.31362179999999)",Georgia
Clinch,"(30.9716985, -82.82097399999999)",Georgia
Coffee,"(31.5182285, -82.82097399999999)",Georgia
Tattnall,"(32.0634576, -82.08429009999999)",Georgia
Twiggs,"(32.68356, -83.46435509999999)",Georgia
Burke,"(33.088805, -81.9534815)",Georgia
Catoosa,"(34.8981727, -85.14793639999999)",Georgia
Harris,"(32.7032697, -84.8567932)",Georgia
Liberty,"(31.842969, -81.47183869999999)",Georgia
Madison,"(34.0990245, -83.2077645)",Georgia
Morgan,"(33.5794186, -83.46435509999999)",Georgia
Pierce,"(31.343806, -82.1713632)",Georgia
Washington,"(32.962702, -82.82097399999999)",Georgia
Baker,"(31.2816037, -84.4802606)",Georgia
Ben Hill,"(31.7664035, -83.2077645)",Georgia
Bryan,"(32.0236584, -81.47183869999999)",Georgia
Camden,"(30.898276, -81.6035062)",Georgia
Colquitt,"(31.2072856, -83.8473015)",Georgia
Crisp,"(31.8875724, -83.804868)",Georgia
Fannin,"(34.8580405, -84.2278796)",Georgia
Greene,"(33.5186591, -83.1649001)",Georgia
Irwin,"(31.5893221, -83.2934086)",Georgia
Jasper,"(33.3246924, -83.7199136)",Georgia
Macon,"(32.3523607, -84.05902900000001)",Georgia
Meriwether,"(33.0561282, -84.68974949999999)",Georgia
Mitchell,"(31.2230067, -84.1857115)",Georgia
Pulaski,"(32.232644, -83.46435509999999)",Georgia
Seminole,"(30.9331429, -84.8984775)",Georgia
Stephens,"(34.5458998, -83.2934086)",Georgia
Decatur,"(30.8720058, -84.5222189)",Georgia
Dodge,"(32.1287268, -83.2077645)",Georgia
Jackson,"(34.1174511, -83.54965659999999)",Georgia
Jones,"(33.0002582, -83.5070203)",Georgia
Long,"(31.7755541, -81.8224362)",Georgia
Taylor,"(32.5407455, -84.2278796)",Georgia
Thomas,"(30.8417409, -83.8473015)",Georgia
Ware,"(31.134411, -82.4752757)",Georgia
White,"(34.6567728, -83.7199136)",Georgia
Wilkes,"(33.808264, -82.7778579)",Georgia
Calhoun,"(31.5621777, -84.6479124)",Georgia
Franklin,"(34.3645724, -83.2077645)",Georgia
Haralson,"(33.8021715, -85.1900684)",Georgia
McDuffie,"(33.5258626, -82.5185837)",Georgia
Toombs,"(32.0795072, -82.34518899999999)",Georgia
Chattahoochee,"(32.2952274, -84.8150781)",Georgia
Habersham,"(34.6478893, -83.54965659999999)",Georgia
Hart,"(34.3500039, -82.95015579999999)",Georgia
Upson,"(32.9047684, -84.3121264)",Georgia
Bulloch,"(32.3595678, -81.77870209999999)",Georgia
Jenkins,"(32.7781246, -81.9971108)",Georgia
Murray,"(34.7928029, -84.7315563)",Georgia
Pike,"(33.0881873, -84.3962535)",Georgia
Walton,"(33.7708613, -83.7199136)",Georgia
Wheeler,"(32.0999794, -82.6915429)",Georgia
Bacon,"(31.5412085, -82.4319405)",Georgia
Brooks,"(30.8730159, -83.54965659999999)",Georgia
Candler,"(32.4241804, -82.08429009999999)",Georgia
Appling,"(31.712238, -82.25832969999999)",Georgia
Banks,"(34.378542, -83.46435509999999)",Georgia
Berrien,"(31.3118535, -83.2077645)",Georgia
Bleckley,"(32.4087854, -83.3789389)",Georgia
Clay,"(31.6447931, -85.0025539)",Georgia
Cook,"(31.1428037, -83.46435509999999)",Georgia
Dade,"(34.9109017, -85.47880649999999)",Georgia
Dooly,"(32.1593447, -83.804868)",Georgia
Gilmer,"(34.6935359, -84.4802606)",Georgia
Jefferson,"(33.0740753, -82.4319405)",Georgia
Johnson,"(32.7308194, -82.6915429)",Georgia
McIntosh,"(31.4748147, -81.38393260000001)",Georgia
Schley,"(32.2736136, -84.3121264)",Georgia
Talbot,"(32.6891322, -84.5222189)",Georgia
Warren,"(33.4470392, -82.6915429)",Georgia
Emanuel,"(32.5726629, -82.3017728)",Georgia
Grady,"(30.9050079, -84.2278796)",Georgia
Oglethorpe,"(33.9119731, -83.03613759999999)",Georgia
Rabun,"(34.9027286, -83.3789389)",Georgia
Screven,"(32.7074673, -81.6035062)",Georgia
Stewart,"(32.1141344, -84.8150781)",Georgia
Walker,"(34.6858231, -85.35496499999999)",Georgia
Webster,"(32.0129889, -84.56414699999999)",Georgia
Wilcox,"(31.9611759, -83.46435509999999)",Georgia
Wilkinson,"(32.8024682, -83.1649001)",Georgia
Lanier,"(31.02912689999999, -83.03613759999999)",Georgia
Putnam,"(33.3069978, -83.3789389)",Georgia
Union,"(34.8457601, -83.9744262)",Georgia
Telfair,"(31.8907647, -82.99316069999999)",Georgia
Elbert,"(34.0795372, -82.8640623)",Georgia
Marion,"(32.328102, -84.5222189)",Georgia
Quitman,"(31.8485969, -84.981754)",Georgia
Towns,"(34.9208214, -83.7199136)",Georgia
Wayne,"(31.5092107, -81.909826)",Georgia
Crawford,"(32.7090798, -83.9744262)",Georgia
Atkinson,"(31.2932161, -82.8640623)",Georgia
Brantley,"(31.1510963, -81.9971108)",Georgia
Echols,"(30.7503289, -82.95015579999999)",Georgia
Jeff Davis,"(31.8234851, -82.605118)",Georgia
Treutlen,"(32.3870233, -82.5834947)",Georgia
Hancock,"(33.2882621, -83.03613759999999)",Georgia
Montgomery,"(32.1802095, -82.5185837)",Georgia
Evans,"(32.1427011, -81.909826)",Georgia
Taliaferro,"(33.56978780000001, -82.8855961)",Georgia
Glascock,"(33.2422994, -82.6267345)",Georgia
Charleston,"(32.7956561, -79.7848422)",South Carolina
Kershaw,"(34.3671762, -80.5882803)",South Carolina
Spartanburg,"(34.860551, -81.9534815)",South Carolina
Lancaster,"(34.7253411, -80.6770787)",South Carolina
Beaufort,"(32.2860396, -80.7214417)",South Carolina
Lexington,"(33.9309651, -81.2518833)",South Carolina
Anderson,"(34.5528328, -82.6483442)",South Carolina
Greenville,"(34.9297484, -82.34518899999999)",South Carolina
Horry,"(33.9196567, -78.9288242)",South Carolina
Fairfield,"(34.4478348, -81.0754657)",South Carolina
Calhoun,"(33.6738638, -80.7657804)",South Carolina
Richland,"(34.0412165, -80.9428911)",South Carolina
York,"(34.9871367, -81.2518833)",South Carolina
Lee,"(34.1630345, -80.23213129999999)",South Carolina
Abbeville,"(34.1891221, -82.4752757)",South Carolina
Dorchester,"(33.1680383, -80.54384499999999)",South Carolina
Saluda,"(34.008713, -81.73494199999999)",South Carolina
