state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,cases,previous_cases,2019_population,change_in_case_ratio
Texas,Fayette,0,0,0,0,0,1,1,0,1,0,0,0,313.0,301.0,25346.0,47.30000000000018
Texas,Coryell,0,0,0,0,0,0,0,0,2,0,0,0,686.0,620.0,75951.0,86.90000000000009
Texas,Comanche,0,0,0,0,0,0,0,0,1,0,0,0,150.0,118.0,13635.0,234.69999999999993
Texas,Eastland,0,0,0,0,0,0,0,0,1,0,0,0,79.0,58.0,18360.0,114.40000000000003
Texas,Shackelford,0,0,0,0,0,0,0,0,2,0,0,0,19.0,17.0,3265.0,61.19999999999993
Texas,Knox,0,0,0,0,0,0,0,0,1,0,0,0,60.0,48.0,3664.0,327.5999999999999
Texas,Foard,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0,1155.0,0.0
Texas,Leon,0,0,0,0,0,0,0,0,7,0,0,0,145.0,138.0,17404.0,40.200000000000045
Texas,Gregg,0,0,0,0,0,0,0,1,1,0,0,0,1659.0,1432.0,123945.0,183.0999999999999
Texas,Maverick,0,0,0,0,0,0,1,0,2,0,0,0,2321.0,1852.0,58722.0,798.6999999999998
Texas,Cass,0,0,0,0,0,0,0,0,3,0,0,0,185.0,158.0,30026.0,89.89999999999998
Texas,Rains,0,0,0,0,0,0,0,0,1,0,0,0,51.0,45.0,12514.0,47.89999999999998
Texas,Lamar,0,0,0,0,0,0,0,0,3,0,0,0,655.0,640.0,49859.0,30.100000000000136
Texas,Bandera,0,0,0,0,0,1,0,0,1,0,0,0,92.0,83.0,23112.0,39.0
Texas,Sutton,0,0,0,0,0,0,1,0,0,1,0,0,66.0,60.0,3776.0,158.9000000000001
Texas,Crockett,0,0,0,0,0,0,1,0,0,1,0,0,158.0,156.0,3464.0,57.69999999999982
Texas,Upton,0,0,0,0,0,0,1,0,0,0,0,0,16.0,16.0,3657.0,0.0
Texas,Ector,0,0,0,0,0,0,1,0,0,0,0,0,3616.0,3440.0,166223.0,105.90000000000009
Texas,Winkler,0,0,0,0,0,0,1,0,0,0,0,0,85.0,71.0,8010.0,174.80000000000007
Texas,Hill,0,0,0,0,0,0,1,0,4,0,0,0,328.0,311.0,36649.0,46.39999999999998
Texas,Hood,0,0,0,0,0,0,0,0,2,0,0,0,567.0,480.0,61643.0,141.0999999999999
Texas,Palo Pinto,0,0,0,0,0,0,0,0,1,0,0,0,297.0,224.0,29189.0,250.10000000000002
Texas,Jack,0,0,0,0,0,0,0,0,3,0,0,0,67.0,43.0,8935.0,268.59999999999997
Texas,Montague,0,0,0,0,0,0,0,0,1,0,0,0,77.0,60.0,19818.0,85.69999999999999
Texas,Hopkins,0,0,0,0,0,0,1,0,1,0,0,0,206.0,180.0,37084.0,70.10000000000002
Texas,San Jacinto,0,0,0,0,0,0,3,0,8,0,0,0,182.0,150.0,28859.0,110.90000000000009
Texas,Limestone,0,0,0,0,0,0,1,0,6,0,0,0,254.0,201.0,23437.0,226.19999999999993
Texas,Rockwall,0,0,0,0,0,0,0,0,1,0,0,0,1031.0,803.0,104915.0,217.30000000000007
Texas,Travis,0,0,0,0,0,0,1,0,1,0,0,0,23249.0,21822.0,1273954.0,112.0
Texas,Jeff Davis,0,0,0,0,0,0,0,0,1,0,0,0,8.0,8.0,2274.0,0.0
Texas,Culberson,0,0,0,0,0,0,0,0,1,0,0,0,17.0,16.0,2171.0,46.0
Texas,Hays,0,0,0,0,0,0,0,0,1,0,0,0,5066.0,4931.0,230191.0,58.70000000000027
Texas,Clay,0,0,0,0,0,0,0,0,2,0,0,0,43.0,35.0,10471.0,76.39999999999998
Texas,Upshur,0,0,0,0,0,0,0,0,1,0,0,0,250.0,194.0,41753.0,134.19999999999993
Texas,Reagan,0,0,0,0,0,0,0,0,1,2,0,0,63.0,60.0,3849.0,78.0
Texas,Nolan,0,0,0,0,0,0,0,0,1,0,0,0,136.0,131.0,14714.0,34.0
Texas,Haskell,0,0,0,0,0,0,0,0,1,0,0,0,43.0,39.0,5658.0,70.70000000000005
Texas,Young,0,0,0,0,0,0,0,0,10,0,0,0,185.0,145.0,18010.0,222.10000000000002
Texas,Choctaw,0,0,0,0,0,0,0,0,1,0,0,0,,,,
Texas,Kerr,0,0,0,0,0,0,0,0,1,0,0,0,400.0,372.0,52600.0,53.299999999999955
Texas,Midland,0,0,0,0,0,0,0,0,0,1,0,0,2676.0,2362.0,176832.0,177.5999999999999
Texas,Martin,0,0,0,0,0,0,0,0,0,2,0,0,63.0,46.0,5771.0,294.6
Texas,Borden,0,0,0,0,0,0,0,0,0,1,0,0,,,,
Texas,Garza,0,0,0,0,0,0,0,0,0,1,0,0,99.0,97.0,6229.0,32.09999999999991
Texas,Crosby,0,0,0,0,0,0,0,0,0,1,0,0,63.0,54.0,5737.0,156.79999999999995
Texas,Motley,0,0,0,0,0,0,0,0,0,1,0,0,6.0,4.0,1200.0,166.7
Texas,Hall,0,0,0,0,0,0,0,0,0,1,0,0,14.0,9.0,2964.0,168.7
Texas,Collingsworth,0,0,0,0,0,0,0,0,0,1,0,0,12.0,7.0,2920.0,171.3
Texas,Mason,0,0,0,0,0,0,0,0,1,0,0,0,54.0,42.0,4274.0,280.79999999999995
Texas,McCulloch,0,0,0,0,0,0,0,0,1,0,0,0,51.0,43.0,7984.0,100.19999999999993
Texas,Coleman,0,0,0,0,0,0,0,0,1,0,0,0,24.0,13.0,8175.0,134.60000000000002
Texas,Callahan,0,0,0,0,0,0,0,0,1,0,0,0,47.0,43.0,13943.0,28.700000000000045
Texas,Throckmorton,0,0,0,0,0,0,0,0,1,0,0,0,4.0,4.0,1501.0,0.0
Texas,Archer,0,0,0,0,0,0,0,0,1,0,0,0,27.0,20.0,8553.0,81.89999999999998
Florida,Calhoun,0,1,0,0,0,1,9,0,0,1,0,0,481.0,333.0,14105.0,1049.1999999999998
Florida,Pinellas,1,1,0,0,0,2,4,0,4,1,0,0,18103.0,17047.0,974996.0,108.29999999999995
Florida,Hillsborough,2,2,0,0,0,4,8,0,7,0,0,0,32996.0,30798.0,1471968.0,149.29999999999973
Florida,Polk,10,1,0,0,0,13,26,0,25,0,1,0,14645.0,13231.0,724777.0,195.0999999999999
Florida,Osceola,8,0,0,0,0,8,11,1,5,0,1,1,9858.0,9018.0,375751.0,223.5
Florida,Brevard,0,1,0,0,0,1,10,1,6,0,0,0,6190.0,5671.0,601942.0,86.19999999999993
Florida,Jefferson,3,0,0,0,0,3,7,0,4,0,2,0,462.0,417.0,14246.0,315.9000000000001
Florida,DeSoto,0,1,0,0,0,1,4,0,1,0,0,0,1377.0,1308.0,38001.0,181.5999999999999
Florida,Okeechobee,1,3,0,0,0,5,13,0,3,0,0,1,1077.0,967.0,42168.0,260.9000000000001
Florida,Levy,0,1,0,0,0,1,10,1,6,0,0,0,698.0,627.0,41503.0,171.0999999999999
