state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,current_cases,current_deaths,previous_cases,previous_deaths,2019_population,change_in_case_ratio,change_in_deaths_ratio,storm_composite,km_cluster,dbs_clusters,latitude,longitude,coordinates
Texas,Pecos,0,0,0,0,0,0,1,0,0,0,0,0,249.0,1.0,222.0,1.0,15823.0,170.70000000000005,0.0,1,3,0,30.8253214,-102.6216211,"(30.8253214, -102.6216211)"
Texas,Reeves,0,0,0,0,0,0,0,0,0,0,0,0,148.0,5.0,141.0,3.0,15976.0,43.79999999999996,12.518778167250876,0,3,0,31.4307975,-103.7289167,"(31.4307975, -103.7289167)"
Texas,Walker,0,0,0,0,0,1,3,1,4,0,0,0,3074.0,41.0,2842.0,38.0,72971.0,317.9000000000005,4.111222266379794,7,0,0,30.6815394,-95.6457951,"(30.6815394, -95.6457951)"
Texas,Houston,0,0,0,0,0,0,2,2,6,0,0,0,317.0,7.0,304.0,6.0,22968.0,56.60000000000014,4.353883664228492,8,1,0,31.2377559,-95.4777811,"(31.2377559, -95.4777811)"
Texas,Anderson,0,0,0,0,0,0,2,1,1,0,0,0,2406.0,14.0,2329.0,10.0,57735.0,133.4000000000001,6.9282064605525235,3,3,0,31.776932,-95.6457951,"(31.776932, -95.6457951)"
Texas,Cherokee,0,0,0,0,0,0,1,1,7,0,0,0,1151.0,8.0,807.0,5.0,52646.0,653.4000000000002,5.698438627815978,8,0,0,31.7981828,-95.1432068,"(31.7981828, -95.1432068)"
Texas,Matagorda,3,1,1,0,0,5,11,0,7,0,0,0,770.0,28.0,688.0,23.0,36643.0,223.80000000000015,13.645170973992306,23,1,0,28.8204837,-95.9832577,"(28.8204837, -95.9832577)"
Texas,Galveston,4,1,0,0,0,5,8,0,1,0,0,0,9605.0,114.0,9106.0,106.0,342139.0,145.80000000000018,2.338230952916797,14,1,0,29.37634989999999,-94.8520636,"(29.37634989999999, -94.8520636)"
Texas,Liberty,0,0,0,0,0,1,14,2,3,0,0,0,1002.0,34.0,855.0,28.0,88219.0,166.5999999999999,6.801255965268252,17,1,0,30.1633593,-94.81059549999999,"(30.1633593, -94.81059549999999)"
Texas,Polk,0,0,0,0,0,0,3,0,9,0,0,0,805.0,12.0,693.0,11.0,51353.0,218.09999999999994,1.9473059022841899,12,1,0,30.7150882,-94.81059549999999,"(30.7150882, -94.81059549999999)"
Texas,Angelina,0,0,0,0,0,0,7,1,3,0,0,0,1950.0,46.0,1755.0,37.0,86715.0,224.79999999999973,10.378827192527245,10,1,0,31.2704698,-94.645035,"(31.2704698, -94.645035)"
Texas,Sabine,0,0,0,0,0,0,0,0,3,0,0,0,62.0,6.0,49.0,6.0,10542.0,123.3,0.0,3,3,0,31.2974233,-93.8248241,"(31.2974233, -93.8248241)"
Texas,DeWitt,0,0,0,0,0,1,9,0,3,0,0,0,700.0,19.0,626.0,15.0,20160.0,367.0,19.841269841269842,12,1,0,29.1235194,-97.35165579999999,"(29.1235194, -97.35165579999999)"
Texas,Brooks,1,0,0,0,0,1,6,0,7,0,0,0,135.0,3.0,91.0,1.0,7093.0,620.3,28.196813760045117,14,1,0,27.0273057,-98.2212979,"(27.0273057, -98.2212979)"
Texas,Duval,4,0,0,0,0,5,5,0,5,0,0,0,188.0,6.0,152.0,4.0,11157.0,322.5999999999999,17.925965761405394,14,1,0,27.7525271,-98.5721016,"(27.7525271, -98.5721016)"
Texas,Atascosa,0,0,0,0,0,0,1,0,8,0,0,0,456.0,18.0,413.0,15.0,51153.0,84.0,5.864758665180928,9,1,0,28.8661281,-98.5721016,"(28.8661281, -98.5721016)"
Texas,Bexar,2,0,0,0,0,2,2,0,5,0,0,0,42971.0,806.0,41286.0,646.0,2003554.0,84.09999999999991,7.985809217021353,9,1,0,29.4200763,-98.5721016,"(29.4200763, -98.5721016)"
Texas,Kendall,0,0,0,0,0,0,2,0,1,0,0,0,163.0,4.0,148.0,4.0,47431.0,31.699999999999992,0.0,3,3,0,29.9603413,-98.7481167,"(29.9603413, -98.7481167)"
Texas,Blanco,0,0,0,0,0,0,0,0,1,0,0,0,114.0,5.0,98.0,5.0,11931.0,134.10000000000002,0.0,1,3,0,30.3500511,-98.3964938,"(30.3500511, -98.3964938)"
